session_id,uri,title,description,language,speakers,start_time,end_time,room,type,tags
7TK88M,https://coscup.org/2025/sessions/7TK88M,使用 Spring Cloud Contract 實踐事件驅動的微服務契約測試,1. 領域驅動設計（DDD）與事件相關模式的核心概念： - 闡述事件驅動架構（Event-Driven Architecture）如何提升微服務的彈性、可擴展性和解耦性。 2. Spring Cloud Contract：實踐事件驅動契約測試的利器： - 展示如何使用 Spring Cloud Contract 定義與領域事件相關的契約。 - 強調 Spring Cloud Contract 如何協助我們驗證微服務之間的事件交換，確保契約的一致性。 - 透過實際範例，展示如何使用 Spring Cloud Contract 自動產生測試程式碼，並與事件相關的測試工具整合。 3. 使用 Spring Cloud Contract 提升事件驅動微服務的可靠性： - 分析 Spring Cloud Contract 如何協助我們及早發現事件相關的整合錯誤，降低風險。 - 探討如何利用 Spring Cloud Contract 進行自動化測試，確保事件驅動微服務的品質。 - 強調 Spring Cloud Contract 如何協助我們建立可信賴的事件驅動微服務生態系。,Mandarin,"YYXZZY, VKBLJS",2025-08-10T11:00:00+08:00,2025-08-10T11:30:00+08:00,88,428,"language_zhtw, difficulty_intermediate"
9PN8N7,https://coscup.org/2025/sessions/9PN8N7,你的合約還在裸奔嗎？快讓 Certora 給它穿上數學護甲！,在區塊鏈和 DeFi 協議中，Smart Contract 的安全性至關重要。然而，傳統的單元測試和模糊測試往往無法覆蓋所有潛在漏洞，尤其是邏輯錯誤和數學不變式等問題。Certora 以數學為基礎，利用形式化驗證 (Formal Verification) 技術，從根本上保障 Smart Contract 的安全性。 本次演講將介紹 Certora 的驗證工具及其核心技術，並解析 Certora Verification Language (CVL) 如何幫助合約開發者進行高精度邏輯驗證。透過實際案例，探討 Certora 如何在眾多安全事件中發揮至關重要的作用。,Mandarin,DABTYH,2025-08-10T10:00:00+08:00,2025-08-10T10:30:00+08:00,82,426,"language_zhtw, difficulty_intermediate"
ACJNJL,https://coscup.org/2025/sessions/ACJNJL,只要一張小朋友：利用樹莓派打造物聯網攻擊工具—— HackMaster Pi,我開發了一個基於 Raspberry Pi Zero 2 W 的開源物聯網安全測試工具 HackMaster Pi，並以物聯網安全學習為目的。透過低成本的特點，集結藍牙、Wi-Fi、紅外線和 RFID 等功能，讓使用者能夠以便宜的預算學習物聯網設備的攻擊與防禦知識。 投影片連結請見：[https://github.com/1PingSun/HackMaster-Pi/blob/main/keynote/HackMaster%20Pi%20Introduction%20Keynote.pdf](https://github.com/1PingSun/HackMaster-Pi/blob/main/keynote/HackMaster%20Pi%20Introduction%20Keynote.pdf)，或 Google Drive 雲端連結：[https://drive.google.com/drive/folders/1ZqCFNfG6tz7VR5vZua2AAn2tCn7cCu9W?usp=sharing](https://drive.google.com/drive/folders/1ZqCFNfG6tz7VR5vZua2AAn2tCn7cCu9W?usp=sharing),Mandarin,PL8BEA,2025-08-09T11:15:00+08:00,2025-08-09T11:45:00+08:00,91,427,"language_zhtw, difficulty_elementary"
APCNMW,https://coscup.org/2025/sessions/APCNMW,From MongoDB to Postgres: Building an Open Source Standard for Document Databases,"MongoDB has become a widely adopted database across industries due to its ease of use, but its shift away from open source and licensing challenges have raised concerns. Running MongoDB also demands additional resources and expertise. Is there a viable alternative? Can we seamlessly migrate MongoDB workloads to Postgres without making application-level changes? And how can MongoDB users continue using their familiar tools and frameworks? In this talk, we will explore the current state of document databases and the growing need for a new open-source standard. We propose that Postgres should be the backbone for this new standard, offering a robust, flexible, and open alternative. By integrating FerretDB, we'll show how Postgres can handle MongoDB workloads with ease. We’ll also demonstrate how to leverage MongoDB tools to manage your Postgres database as if it were MongoDB. This approach bridges the gap between Postgres and the MongoDB community, bringing new possibilities for both users and developers while contributing to Postgres's ongoing success.",English,7HP73E,2025-08-09T13:00:00+08:00,2025-08-09T13:40:00+08:00,72,424,"language_en, difficulty_intermediate"
AUQ3GX,https://coscup.org/2025/sessions/AUQ3GX,Spring Boot x Liquibase：資料庫變更管理及自動化部署實戰分享,### **議程摘要** 在敏捷開發與 DevOps 文化盛行的時代，資料庫架構變更的管理往往是軟體開發流程中的一大挑戰。Liquibase 作為一個強大的資料庫版本管理工具，可以有效解決多人協作、環境一致性、版本變更追蹤等問題。 本次議程將以實戰案例帶領聽眾從零開始構建一套完善的資料庫變更管理流程，從環境配置、變更驗證、上線監控，逐步說明如何利用 Liquibase 搭配 Spring Boot 與 GCP Cloud SQL PostgreSQL，打造安全且穩定的資料庫運維流程。最終目標在於減少因人工執行繁瑣 SQL 語法而引發的錯誤，確保每一次資料庫更新都能順利在各環境執行並提高上線穩定性。 <br> ### **議程內容** **1. 為何選擇 Liquibase？** **2. Spring Boot 與 Liquibase 整合** **3. 環境區分與測試驗證** **4. 監控 Liquibase 執行狀況** **5. 自動化部署與版本控制** <br>,Mandarin,8DCEPY,2025-08-10T11:45:00+08:00,2025-08-10T12:15:00+08:00,88,428,"language_zhtw, difficulty_intermediate"
BDDQY9,https://coscup.org/2025/sessions/BDDQY9,"The basics of Writer that you can learn by enjoying! If you want to migrate, start with Writer!","LibreOffice Writer has a lot of charm. We enjoy Writer within our organization. So if you are thinking about moving away from Microsoft Office, how about tackling the transition from Word to Writer first? This presentation is intended for those who are considering migrating from Microsoft Office to LibreOffice, but are apprehensive or wondering how to make the transition appealing, or are curious about the basics of using Writer. We hope you will join us, have fun and feel the charm of Writer.",English,"X7CDAJ, NL7NXD",2025-08-09T10:40:00+08:00,2025-08-09T11:10:00+08:00,94,408,"language_en, difficulty_elementary"
BQRHLS,https://coscup.org/2025/sessions/BQRHLS,網路策略怎麼下？利用開源工具做網路流量分析,流量分析是做好網路路由策略與成本調配的一環，本議程將會使用開源工具 Akvorado實作從收集、儲存到視覺化的全流程流量監控架構。內容將涵蓋如何部署與設定 Akvorado、整合 sFlow/NetFlow 資料來源。透過分析流量，協助網管人員更有效掌握跨境與區域性流量趨勢，進而優化網路拓撲與 ISP 間的連線策略。,Mandarin,8MDJFA,2025-08-10T13:10:00+08:00,2025-08-10T14:10:00+08:00,85,440,"language_zhtw, difficulty_elementary"
BVTSDS,https://coscup.org/2025/sessions/BVTSDS,台灣數位憑證皮夾：技術架構與開源挑戰,數位發展部將推出台灣數位憑證皮夾（簡稱數位皮夾），亦公開承諾開源。本演講將分析其技術架構，並簡短回顧台灣過往的開源挑戰。,Mandarin,FW9HYA,2025-08-09T13:50:00+08:00,2025-08-09T14:20:00+08:00,93,430,"language_zhtw, difficulty_intermediate"
CHCTEB,https://coscup.org/2025/sessions/CHCTEB,從 PostgreSQL 到 Cloudberry：大數據平台的開源與雲原生轉型之路,<font size=4>**`Cloudberry`**</font> 是一個正在***Apache***基金會孵化中的專案，其前身為從***PostgreSQL***衍生出的商業版MPP資料庫***Greenplum***。這套系統過去長期處於閉源狀態，僅提供On-Premise的佈署方式。然而在2024年，Cloudberry首度以開源形式釋出，並支援容器化部署，實現雲原生轉型。本演講將介紹Cloudberry的技術演進、與PostgreSQL的差異、在 Kubernetes上的佈署方式，以及它為何有潛力成為下一代開源資料平台。,Mandarin,UQNUTP,2025-08-09T14:40:00+08:00,2025-08-09T15:20:00+08:00,72,424,"language_zhtw, difficulty_intermediate"
CJ8QPL,https://coscup.org/2025/sessions/CJ8QPL,「透明、安全與合規：國泰中台微服務供應鏈安全治理的SBOM、CBOM與AIBOM新思維」,在數位轉型浪潮下，微服務架構成為金融業提升效率、敏捷性與擴展性的關鍵。然而，國泰中台廣泛使用微服務來提升服務敏捷性與效率，但同時也面臨資安漏洞、加密安全與AI模型治理的挑戰。如何有效地管理這些複雜的組成元素，確保系統安全、符合法規，成為當前金融業的重要課題。本次演講將分享國泰中台微服務如何導入SBOM、CBOM與AIBOM這三個關鍵概念。 1. SBOM (軟體組件清單)：掌握微服務中開源或第三方軟體元件，當軟體漏洞發生時，可快速識別並修補。 2. CBOM (加密資產清單)：記錄微服務加密演算法、密鑰管理工具、TLS憑證、簽章方法等資訊，以便應對量子電腦時代潛在的加密風險，並確保符合法規要求。 3. AIBOM (AI資產清單)：呈現AI模型之來源、訓練資料集、權重、算法、模型風險評估、倫理風險等資訊，幫助企業落實 AI治理與責任。 在國泰中台微服務架構下，SBOM、CBOM與AIBOM不再只是技術名詞，而是提升系統安全、強化合規管理、建立客戶信任的關鍵工具。透過導入這三個工具，國泰中台能更有效地掌握微服務的組成，降低潛在風險，並在快速發展的金融科技領域保持競爭優勢。,Mandarin,SUU3BA,2025-08-09T15:10:00+08:00,2025-08-09T15:40:00+08:00,93,430,"language_zhtw, difficulty_intermediate"
CMTEEW,https://coscup.org/2025/sessions/CMTEEW,Open Source Make you different.,"The IT industry needs experienced developers, but no company will provide jobs for developers without experience. Open Source can match the Gap. I am the developer of the potablepgp i18n project. I want to share my experience to show the advantages of open-source on it.",English,RLG8M3,2025-08-10T15:30:00+08:00,2025-08-10T16:00:00+08:00,77,460,"language_en, difficulty_elementary"
DFRZ3Y,https://coscup.org/2025/sessions/DFRZ3Y,Opening a New Window in Life: How a Humanities Major Entered the World of Open Source,"This talk explores how non-engineers—especially those from non-technical backgrounds—can find meaningful ways to participate in open-source communities, gain confidence, and grow through contribution. Drawing from experience in the Redmine community, the session introduces practical ways to contribute without writing code—such as translation, documentation, and providing user feedback. It also discusses how language skills and a user’s perspective can be vital in supporting global collaboration. The talk will cover how to overcome initial barriers, what contributors can gain through involvement, and how open source offers a space to build confidence, purpose, and connection. This session is ideal for non-engineers, newcomers to open source, or anyone who feels unsure about how they can contribute. You’ll walk away with concrete ideas on how to get started, where to find support, and how to grow through open collaboration—even without a technical background.",English,DAQF7X,2025-08-10T13:00:00+08:00,2025-08-10T13:30:00+08:00,94,408,"language_en, difficulty_elementary"
